,0
226,"Suzie, Suzie, working in a shoeshine shop. All day long she sits and shines, all day long she shines and sits, and sits and shines, and shines and sits, and sits and shines, and shines and sits. Suzie, Suzie, working in a shoeshine shop."
227,Preshrunk silk shirts.
228,Craig Quinn's quick trip to Crabtree Creek.
229,"Six shining cities, six shining cities, six shining cities."
230,"While we were walking, we were watching window washers wash Washington's windows with warm washing water."
231,A big black bear sat on a big black bug.
232,A bloke's bike back brake block broke.
233,Sweet sagacious Sally Sanders said she sure saw seven segregated seaplanes sailing swiftly southward Saturday.
234,"Betty Botter bought some butter but, said she, the butter's bitter. If I put it in my batter, it will make my batter bitter. But a bit of better butter will make my bitter batter better. So she bought some better butter, better than the bitter butter, put it in her bitter batter, made her bitter batter better. So 't was better Betty Botter bought some better butter."
235,How much oil boil can a gum boil boil if a gum boil can boil oil?
236,"Good blood, bad blood, good blood, bad blood, good blood, bad blood."
237,No nose knows like a gnome's nose knows.
238,Freshly fried fresh flesh
239,"There are two minutes difference from four to two to two to two, from two to two to two, too."
240,"There once was a man who had a sister, his name was Mr. Fister. Mr. Fister's sister sold sea shells by the sea shore. Mr. Fister didn't sell sea shells, he sold silk sheets. Mr. Fister told his sister that he sold six silk sheets to six shieks. The sister of Mr. Fister said I sold six shells to six shieks too!"
241,Sally sells sea shells by the sea shore. But if Sally sells sea shells by the sea shore then where are the sea shells Sally sells?
242,"She stood on the steps of Burgess's Fish Sauce Shop, mimicking him hiccuping and amicably welcoming him in."
243,"Swan swam over the sea. Swim, swan, swim! Swan swam back again. Well swum swan!"
244,"Sally is a sheet slitter, she slits sheets."
245,"She sells sea shells on the sea shore; The shells that she sells are sea shells I'm sure. So if she sells sea shells on the sea shore, I'm sure that the shells are sea shore shells."
246,You know New York. You need New York. You know you need unique New York.
247,What noise annoys an oyster most? A noisy noise annoys an oyster most.
248,Ripe white wheat reapers reap ripe white wheat right.
249,Blake's black bike's back brake bracket block broke.
250,Each Easter Eddie eats eighty Easter eggs.
251,She slits the sheet she sits on.
252,"A rough-coated, dough-faced, thoughtful ploughman strode through the streets of Scarborough; after falling into a slough, he coughed and hiccoughed."
253,"A twister of twists once twisted a twist. and the twist that he twisted was a three-twisted twist. now in twisting this twist, if a twist should untwist, would the twist that untwisted untwist the twists?"
254,"Red lolly, yellow lolly."
255,Mrs Hunt had a country cut front in the front of her country cut pettycoat.
256,Knapsack strap.
257,"John, where Molly had had had"""
258,Miss Smith's fish-sauce shop seldom sells shellfish.
259,Great gray goats
260,Whether the weather be fine or whether the weather be not. Whether the weather be cold or whether the weather be hot. We'll weather the weather whether we like it or not.
261,"Sunshine city, sunshine city, sunshine city, ..."
262,The batter with the butter is the batter that is better!
263,There's a sandwich on the sand which was sent by a sane witch.
264,How many yaks could a yak pack pack if a yak pack could pack yaks?
265,Twelve twins twirled twelve twigs.
266,If you stick a stock of liquor in your locker it is slick to stick a lock upon your stock or some joker who is slicker is going to trick you of your liquor if you fail to lock your liquor with a lock.
267,Clowns grow glowing crowns.
268,Can you imagine an imaginary menagerie manager imagining managing an imaginary menagerie?
269,"Sister Suzie sewing shirts for soldiers Such skill as sewing shirts Our shy young sister Suzie shows Some soldiers send epistles Say they'd rather sleep in thistles Than the saucy, soft short shirts for soldiers Sister Suzie sews."
270,"Red leather, yellow leather, ..."
271,IF IF = THEN THEN THEN = ELSE ELSE ELSE = IF;
272,"Announcement at Victoria Station, London: Two to two to Tooting too!"
273,Richard's wretched ratchet wrench.
274,Rugged rubber baby buggy bumpers.
275,"A box of biscuits, a box of mixed biscuits, and a biscuit mixer."
276,"When a doctor doctors a doctor, does the doctor doing the doctoring doctor as the doctor being doctored wants to be doctored or does the doctor doing the doctoring doctor as he wants to doctor?"
277,What to do to die today at a minute or two to two. A terribly difficult thing to say and a harder thing to do. A dragon will come and beat his drum Ra-ta-ta-ta-ta-ta-ta-ta-too at a minute or two to two today.  At a minute or two to two.
278,"If two witches would watch two watches, which witch would watch which watch?"
279,The soldier's shoulder surely hurts!
280,She sees seas slapping shores.
281,A loyal warrior will rarely worry why we rule.
282,Greek grapes.
283,Mr. See owned a saw and Mr Soar owned a seesaw. Now See's saw sawed Soar's seesaw before Soar saw See.
284,Six sick sea-serpents swam the seven seas.
285,There was a little witch which switched from Chichester to Ipswich.
286,A proper cup of coffee from a proper copper coffee pot.
287,"Don't trouble trouble, until trouble troubles you! If you trouble trouble, triple trouble troubles you!"
288,"Theophilus Thadeus Thistledown, the succesful thistle-sifter, while sifting a sieve-full of unsifted thistles, thrust three thousand thistles through the thick of his thumb. Now, if Theophilus Thadeus Thistledown, the succesful thistle-sifter, thrust three thousand thistles through the thick of his thumb, see that thou, while sifting a sieve-full of unsifted thistles, thrust not three thousand thistles through the thick of thy thumb."
289,"Shoe section, shoe section, shoe section, ..."
290,"A smart fella, a fella smart. It takes a smart fella to say a fella smart."
291,She is a thistle-sifter. She has a sieve of unsifted thistles and a sieve of sifted thistles and the sieve of unsifted thistles she sifts into the sieve of sifted thistles because she is a thistle-sifter.
292,"Admidst the mists and coldest frosts, With stoutest wrists and loudest boasts, He thrusts his fists against the posts, And still insists he sees the ghosts."
293,"Fuzzy Wuzzy was a bear, Fuzzy Wuzzy had no hair, Fuzzy Wuzzy wasn't very fuzzy, was he?"
294,"Blue glue gun, green glue gun."
295,"Toy boat, toy boat, toy boat, ..."
296,Mallory's hourly salary.
297,"I slit a sheet, a sheet I slit, and on that slitted sheet I sit."
298,Don't spring on the inner-spring this spring or there will be an offspring next spring.
299,"A flea and a fly in a flue, were imprisoned. So what could they do? Said the fly, Let us flee"". Said the flea"
300,"King Thistle stuck a thousand thistles in the thistle of his thumb. A thousand thistles King Thistle stuck in the thistle of his thumb. If King Thistle stuck a thousand thistles in the thistle of his thumb, How many thistles did King Thistle stick in the thistle of his thumb?"
301,Five fat friars frying flat fish.
302,"The bottle of perfume that Willy sent was highly displeasing to Millicent. Her thanks were so cold that they quarreled, I'm told o'er that silly scent Willy sent Millicent"
303,"Esau Wood sawed wood. All the wood Esau Wood saw, Esau Wood would saw. All the wood Wood saw, Esau sought to saw. One day Esau Wood's wood-saw would saw no wood. So Esau Wood sought a new wood-saw. The new wood-saw would saw wood. Oh, the wood Esau Wood would saw. Esau sought a saw that would saw wood as no other wood-saw would saw. And Esau found a saw that would saw as no other wood-saw would saw. And Esau Wood sawed wood."
304,"A skunk sat on a stump and thunk the stump stunk, but the stump thunk the skunk stunk."
305,"Extinct insects' instincts, extant insects' instincts."
306,"Sweater weather, leather weather."
307,"One black beetle bled only black blood, the other black beetle bled blue."
308,The big black bug's blood ran blue.
309,"I am not the pheasant plucker, I'm the pheasant plucker's mate. I am only plucking pheasants 'cause the pheasant plucker's late."
310,"Ed Nott was shot and Sam Shott was not. So it is better to be Shott than Nott. Some say Nott was not shot. But Shott says he shot Nott. Either the shot Shott shot at Nott was not shot, or Nott was shot. If the shot Shott shot shot Nott, Nott was shot. But if the shot Shott shot shot Shott, the shot was Shott, not Nott. However, the shot Shott shot shot not Shott - but Nott. So, Ed Nott was shot and that's hot! Is it not?"
311,"We will learn why her lowly lone, worn yarn loom will rarely earn immoral money."
312,"Unique New York, unique New York, unique New York, ..."
313,If Dr. Seuss Were a Technical Writer.....
314,Picky people pick Peter Pan Peanut Butter. Peter Pan Peanut is the peanut picky people pick.
315,Ray Rag ran across a rough road. Across a rough road Ray Rag ran. Where is the rough road Ray Rag ran across?
316,Elmer Arnold
317,"A Tudor who tooted the flute tried to tutor two tooters to toot. Said the two to the tutor, Is it harder to toot or to tutor two tooters to toot?"""""
318,"Mrs Puggy Wuggy has a square cut punt. Not a punt cut square, Just a square cut punt. It's round in the stern and blunt in the front. Mrs Puggy Wuggy has a square cut punt."
319,"Tim, the thin twin tinsmith."
320,"Thin sticks, thick bricks"
321,"Red lorry, yellow lorry."
322,A big black bug bit a big black bear and made the big black bear bleed blood.
323,How much wood would a woodchuck chuck if a woodchuck would  chuck wood? A woodchuck would chuck how much a woodchuck would chuck if a  woodchuck would chuck wood.
324,"Larry Hurley, a burly squirrel hurler, hurled a furry squirrel through a curly grill."
325,Six twin screwed steel steam cruisers.
326,A nurse anesthetist unearthed a nest.
327,"I thought a thought. But the thought I thought Wasn't the thought I thought I thought. If the thought I thought I thought,Had been the thought I thought, I wouldn't have thought I thought."
328,She sells sea shells on the seashore. The seashells she sells are seashells she is sure.
329,From the programmer's desk: She sells cshs by the C shore.
330,"A noise annoys an oyster, but a noisy noise annoys an oyster more!"
331,"Plain bun, plum bun, bun without plum."
332,Slick slim slippers sliding south.
333,"The Leith police dismisseth us They thought we sought to stay;  The Leith police dismisseth us They thought we'd stay all day. The Leith police dismisseth us, We both sighed sighs apiece;  And the sighs that we sighed as we said goodbye Were the size of the Leith police."
334,"Ah shucks, six stick shifts stuck shut!"
335,"Meter maid Mary married manly Matthew Marcus Mayo, a moody male mailman moving mostly metered mail."
336,"The king would sing, about a ring that would go ding."
337,"How much dough would Bob Dole dole if Bob Dole could dole dough? Bob Dole would dole as much dough as Bob Dole could dole, if Bob Dole could dole dough."
338,People pledging plenty of pennies.
339,"Mares eat oats and does eat oats, but little lambs eat ivy."
340,"To begin to toboggan, first buy a toboggan. But don't buy too big a toboggan. Too big a toboggan is too big a toboggan to buy to begin to toboggan."
341,Courtney Dworkin
342,"Switch watch, wrist watch."
343,Six thick thistle sticks
344,"Sinful Caesar sipped his snifter,seized his knees and sneezed. Chester chooses chestnuts,cheddar cheese with chewy chives.He chews them and he chooses them.He chooses them and he chews themThose chestnuts, cheddar cheeseand chives in cheery, charming chunks. Moses supposes his toeses are roses.But Moses supposes erroneously.Moses, he knowses his toeses aren't rosesAs Moses supposes his toeses to be."
345,I wish I were what I was when I wished I were what I am.
346,She sells seashells on the seashore. The seashells she sells are seashore seashells.
347,Irish wristwatch
348,She had shoulder surgery.
349,"To put a pipe in byte mode, type PIPE_TYPE_BYTE."
350,Three Tree Turtles
351,My Friend Gladys
352,"I would if I could, and if I couldn't, how could I? You couldn't, unless you could, could you?"
353,real rear wheel
354,"Give me the gift of a grip-top sock,A clip drape shipshape tip top sock. Not your spinslick slapstick slipshod stock, But a plastic, elastic grip-top sock. None of your fantastic slack swap slopFrom a slap dash flash cash haberdash shop. Not a knick knack knitlock knockneed knickerbocker sockWith a mock-shot blob-mottled trick-ticker top clock. Not a supersheet seersucker rucksack sock, Not a spot-speckled frog-freckled cheap sheik's sockOff a hodge-podge moss-blotched scotch-botched block. Nothing slipshod drip drop flip flop or glip glopTip me to a tip top grip top sock."
355,National Sheepshire Sheep Association
356,The crow flew over the river with a lump of raw liver.
357,The little red lorry went down Limuru road.
358,Flies fly but a fly flies.
359,Did Doug dig Dick's garden or did Dick dig Doug's garden?
360,"If a Hottentot taught a Hottentot tot to talk ere the tot could totter, ought the Hottentot tot be taught to say ought or naught or what ought to be taught 'er?"
361,How many cans can a canner can if a canner can can cans? A canner can can as many cans as a canner can if a canner can can cans.
362,"Federal Express is now called FedEx.When I retire I'll be a FedEx ex.But if I'm an officer when I retire, I'll be an ex Fedex Exec.Then after a divorce, my ex-wife will be an ex FedEx exec's ex.If I rejoin FedEx in time, I'd be an ex ex FedEx exec.When we remarry, my wife will be an ex ex FedEx exec's ex."
363,Which witch snitched the stitched switch for which the Swiss witch wished?
364,Does this shop sport short socks with spots?
365,"Customer: Do you have soothers?Shopkeeper (thinking he had said scissors""): No"
366,"Tommy, Tommy, toiling in a tailor's shop.All day long he fits and tucks,all day long he tucks and fits,and fits and tucks, and tucks and fits,and fits and tucks, and tucks and fits.Tommy, Tommy, toiling in a tailor's shop."
367,No need to light a night-light on a light night like tonight.
368,"I wish to wish, I dream to dream, I try to try, and I live to live, and I'd die to die, and I cry to cry but I dont know why."
369,My mommy makes me muffins on Mondays.
370,A real rare whale.
371,"Terry Teeter, a teeter-totter teacher, taught her daughter Tara to teeter-totter, but Tara Teeter didn't teeter-totter as Terry Teeter taught her to."
372,Ken Dodd's dad's dog 's dead.
373,I bought a bit of baking powder and baked a batch of biscuits. I brought a big basket of biscuits back to the bakery and baked a basket of big biscuits. Then I took the big basket of biscuits and the basket of big biscuits and mixed the big biscuits with the basket of biscuits that was next to the big basket and put a bunch of biscuits from the basket into a biscuit mixer and brought the basket of biscuits and the box of mixed biscuits and the biscuit mixer to the bakery and opened a tin of sardines.
374,"Kanta is a masai girl. She can tie a tie and untie a tie. If Kanta can tie a tie and untie a tie, why can't I tie a tie and untie a tie?"
375,"I'm a mother pheasant plucker,I pluck mother pheasants.I'm the most pleasant mother pheasant plucker,to ever pluck a mother pheasant.Actually, ...I'm Not the pheasant plucker,I'm the pheasant plucker's son.But I'll stay and pluck the pheasantsTill the pheasant plucking 's done!"
376,If you go for a gopher a gopher will go for a gopher hole.
377,Seven slick and sexy sealskin ski suits slid slowly down the slope.
378,The chief of the Leith police dismisseth us.
